"Carrier","Departure Delay","Arrival Delay"
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-15.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
